name,address,services,status
"Legal Name: WORLDHAVEN FINANCIAL INC.,  Operating Name: WORLDHAVEN FINANCIAL INC.","350 HIGHWAY 7 EAST UNIT PH4,RICHMOND HILL,ONTARIO,CANADA,L4B 3N2","Foreign Exchange, Money Transferring, Virtual Currency",Registered
"Legal Name: WASABI GROUP LIMITED,  Operating Name: WASABI GROUP LIMITED","4145 NORTH SERVICE ROAD,BURLINGTON,ONTARIO,CANADA,L7L 6A3","Foreign Exchange, Money Transferring, Virtual Currency",Registered
"Legal Name: JOMOUH INC.,  Operating Name: JOMOUH INC.","12 NATALIE COURT,THOROLD,ONTARIO,CANADA,L2V 5C7","Foreign Exchange, Virtual Currency",Registered
"Legal Name: THE DATASEED COMPANY CANADA LTD.,  Operating Name: SEEDFI, DATASEED","3302 CARDING MILL TRAIL,OAKVILLE,ONTARIO,CANADA,L6M 1S1","Foreign Exchange, Money Transferring, Virtual Currency, Crowdfunding, PSP",Registered
"Legal Name: AMIRI ASCENSION INC.,  Operating Name: AMIRI","212-105 CHAMPAGNE AVE ,OTTAWA,ONTARIO,CANADA,K1S 5E5","Foreign Exchange, Money Transferring, Virtual Currency, PSP",Registered
"Legal Name: EMERALDA GLOBAL MARKET LIMITED,  Operating Name: EMERALDA GLOBAL MARKET LIMITED","1206-1243 ISLINGTON AVE,ETOBICOKE,ONTARIO,CANADA,M8X 1Y9","Foreign Exchange, Money Transferring, Virtual Currency",Registered
"Legal Name: THAMOR TRADING CORPORATION,  Operating Name: YOA MONEY TRANSFER","107 A DUNDAS STREET EAST,MISSISSAUGA,ONTARIO,CANADA,L5A1W7","Foreign Exchange, Money Transferring",Registered
"Legal Name: 17341989 CANADA LTD.,  Operating Name: 17341989 CANADA LTD.","38 SPRINGFIELD DRIVE,MARKHAM,ONTARIO,CANADA,L3S 3H7","Foreign Exchange, Money Transferring, Virtual Currency, PSP",Registered
"Legal Name: NORTHERN UNION LIMITED,  Operating Name: NORTHERN UNION LIMITED","106-3341 MARKHAM ROAD,SCARBOROUGH,ONTARIO,CANADA,M1X 0A5","Foreign Exchange, Money Transferring",Registered
"Legal Name: AVI CERTIFY INC.,  Operating Name: AVI CERTIFY","4064 LAWRENCE AVENUE EST,TORONTO,ONTARIO,CANADA,V1E 4V5","Foreign Exchange, Money Transferring, Issuing and Redeeming Money Orders, PSP",Registered
"Legal Name: 17122047 CANADA INC,  Operating Name: 17122047 CANADA INC","81 LAMBERT CRESCENT,BRANTFORD,ONTARIO,CANADA,N3T 0E9","Foreign Exchange, Money Transferring, Virtual Currency",Registered
"Legal Name: CAMBRIDGE MERCANTILE CORP.,  Operating Name: CORPAY","121 KING STREET WEST,TORONTO,ONTARIO,CANADA,M5H 3T9","Foreign Exchange, Money Transferring",Registered
"Legal Name: VELOCITY FOREIGN EXCHANGE SERVICES LTD.,  Operating Name: VELOCITY TRADE","100 YONGE ST, SUITE 1800,TORONTO,ONTARIO,CANADA,M5C2W1","Foreign Exchange, Money Transferring",Registered
"Legal Name: MERCANTILE EXCHANGE CORPORATION,  Operating Name: MERCANTILE EXCHANGE","1 UNIVERSITY AVENUE, 11TH FLOOR   WE WORK CANADA LP ULC,TORONTO,ONTARIO,CANADA,M5J2P1","Foreign Exchange, Money Transferring, PSP",Registered
"Legal Name: LAMANET INC.,  Operating Name: LAMANET EXCHANGE","A201-10265 YONGE STREET,RICHMOND HILL,ONTARIO,CANADA,L4C 4Y7","Foreign Exchange, Money Transferring",Registered
"Legal Name: 1001262612 ONTARIO LIMITED,  Operating Name: 1001262612 ONTARIO LIMITED","3004-88 SHEPPARD AVENUE EAST,NORTH YORK,ONTARIO,CANADA,M2N 0G9","Foreign Exchange, Money Transferring, Issuing and Redeeming Money Orders, Virtual Currency, Crowdfunding, PSP",Registered
"Legal Name: WINDSOR-DETROIT TUNNEL DUTY FREE SHOP INC,  Operating Name: TUNNEL DUTY FREE SHOP","465 GOYEAU STREET,WINDSOR,ONTARIO,CANADA,N9A1H1",Foreign Exchange,Registered
"Legal Name: CANADIAN HAPPY PIG INTERNATIONAL EXCHANGE LIMITED,  Operating Name: CANADIAN HAPPY PIG INTERNATIONAL EXCHANGE LIMITED","A4-9131 KEELE STREET,VAUGHAN,ONTARIO,CANADA,L4K 0G7","Foreign Exchange, Virtual Currency, PSP",Registered
"Legal Name: 16963765 CANADA LTD.,  Operating Name: VOVIDA COMMUNICATIONS","30 MEADOW GLEN PLACE,TORONTO,ONTARIO,CANADA,M1G 0A6","Foreign Exchange, Money Transferring, PSP",Registered
"Legal Name: DIANGEL GROUP LIMITED,  Operating Name: DIANGEL GROUP LIMITED","5600-100 KING STREET WEST,TORONTO,ONTARIO,CANADA,M5X 1C9","Foreign Exchange, Virtual Currency, PSP",Registered
"Legal Name: FALAH VIRTUAL ASSETS LTD.,  Operating Name: FALAH PAY, FALAH ASSETS","184 - 145 1/2 CHURCH STREET, UNIT 5,TORONTO,ONTARIO,CANADA,M5B 1Y4","Foreign Exchange, Money Transferring, Issuing and Redeeming Money Orders, Virtual Currency, PSP",Registered
"Legal Name: 15428033 CANADA INC.,  Operating Name: 15428033 CANADA INC.","3 - 5 PEARL CRESCENT,CHATHAM,ONTARIO,CANADA,N7M 5R7","Foreign Exchange, Money Transferring",Registered
